S.N,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,tests/1M pop,Population
,World,"154,211,263","35,535","3,227,795","1,006","132,363,932","66,971","18,619,536","111,385","19,784",414.1,,,
1,USA,"33,230,992",,"591,514",,"25,908,684",,"6,730,794","9,427","99,905","1,778","450,287,188","1,353,729","332,627,330"
2,India,"20,282,833","7,290","222,408",25,"16,613,292","12,589","3,447,133","8,944","14,578",160,"293,310,779","210,811","1,391,345,879"
3,Brazil,"14,791,434",,"408,829",,"13,336,476",,"1,046,129","8,318","69,176","1,912","46,439,030","217,184","213,823,632"
4,France,"5,656,007",,"105,130",,"4,656,418",,"894,459","5,630","86,490","1,608","77,161,949","1,179,945","65,394,549"
5,Turkey,"4,900,121",,"41,191",,"4,515,819",,"343,111","3,438","57,582",484,"47,987,986","563,918","85,097,446"
6,Russia,"4,839,514","7,770","111,535",337,"4,457,044","6,755","270,935","2,300","33,150",764,"130,200,000","891,861","145,986,929"
7,UK,"4,421,850",,"127,539",,"4,231,750",,"62,561",185,"64,851","1,870","156,302,824","2,292,349","68,184,563"
8,Italy,"4,050,708",,"121,433",,"3,505,717",,"423,558","2,490","67,079","2,011","59,236,655","980,947","60,387,240"
9,Spain,"3,540,430",,"78,293",,"3,222,697",,"239,440","2,323","75,699","1,674","47,213,067","1,009,474","46,769,962"
10,Germany,"3,435,877",,"84,020",,"3,061,500","20,800","290,357","5,049","40,899","1,000","55,490,413","660,534","84,008,377"
11,Argentina,"3,021,179",,"64,792",,"2,698,072",,"258,315","5,426","66,338","1,423","11,329,752","248,773","45,542,532"
12,Colombia,"2,905,254",,"75,164",,"2,721,317",,"108,773","6,006","56,593","1,464","14,999,981","292,192","51,336,116"
13,Poland,"2,805,756",,"68,105",,"2,529,844",,"207,807","2,593","74,203","1,801","14,459,033","382,394","37,811,840"
14,Iran,"2,555,587",,"72,875",,"2,004,949",,"477,763","5,461","30,104",858,"16,240,345","191,309","84,890,684"
15,Mexico,"2,349,900","1,027","217,345",112,"1,872,375","5,184","260,180","4,798","18,067","1,671","6,659,184","51,199","130,064,845"
16,Ukraine,"2,085,938",,"44,750",,"1,681,815",,"359,373",177,"47,938","1,028","9,487,141","218,030","43,513,052"
17,Peru,"1,814,127",,"62,375",,"1,688,091",,"63,661","2,654","54,388","1,870","11,293,108","338,571","33,355,236"
18,Indonesia,"1,682,004",,"45,949",,"1,535,491",,"100,564",,"6,096",167,"14,791,816","53,605","275,940,759"
19,Czechia,"1,636,836","2,216","29,421",15,"1,565,481",127,"41,934",458,"152,610","2,743","18,816,612","1,754,359","10,725,632"
20,South Africa,"1,584,961",,"54,452",,"1,508,558",,"21,951",546,"26,445",909,"10,715,773","178,795","59,933,154"
21,Netherlands,"1,516,802",,"17,189",,"1,278,135",,"221,478",818,"88,358","1,001","12,762,141","743,427","17,166,644"
22,Canada,"1,243,257",,"24,342",,"1,135,356",,"83,559","1,456","32,701",640,"31,897,888","839,001","38,018,875"
23,Chile,"1,215,815",,"26,659",,"1,149,795",,"39,361","3,303","63,148","1,385","13,243,447","687,849","19,253,428"
24,Iraq,"1,079,998",,"15,566",,"964,551",,"99,881",555,"26,358",380,"9,445,914","230,537","40,973,483"
25,Philippines,"1,062,225",,"17,525",,"975,234",,"69,466",750,"9,587",158,"11,951,899","107,870","110,798,769"
26,Romania,"1,058,337",,"28,380",,"997,749",,"32,208","1,214","55,324","1,484","8,291,517","433,433","19,129,869"
27,Belgium,"996,896","1,334","24,322",31,"868,294",,"104,280",825,"85,704","2,091","12,642,980","1,086,926","11,631,863"
28,Sweden,"973,604",,"14,048",,"816,349",,"143,207",392,"95,903","1,384","8,798,383","866,668","10,151,970"
29,Israel,"838,664",43,"6,369",2,"831,036",41,"1,259",93,"91,183",692,"14,275,737","1,552,117","9,197,590"
30,Pakistan,"837,523","3,377","18,310",161,"733,062","5,018","86,151","5,326","3,731",82,"11,965,682","53,308","224,465,191"
31,Portugal,"837,457",,"16,977",,"797,124",,"23,356",90,"82,332","1,669","10,633,251","1,045,370","10,171,756"
32,Hungary,"784,837",726,"28,045",137,"532,990","4,789","223,802",549,"81,417","2,909","5,438,145","564,137","9,639,766"
33,Bangladesh,"763,682",,"11,644",,"691,162",,"60,876","1,078","4,599",70,"5,518,410","33,231","166,060,868"
34,Jordan,"714,173",,"8,925",,"691,218",,"14,030",729,"69,419",868,"6,743,722","655,507","10,287,802"
35,Serbia,"693,169",,"6,432",,"645,490",,"41,247",141,"79,603",739,"3,860,140","443,296","8,707,824"
36,Switzerland,"663,952",,"10,655",,"594,764",,"58,533",240,"76,250","1,224","6,978,583","801,438","8,707,574"
37,Austria,"623,201",,"10,260",,"591,525",,"21,416",476,"68,866","1,134","32,495,877","3,590,937","9,049,414"
38,Japan,"602,862",,"10,361",,"531,069",,"61,432","1,084","4,779",82,"12,007,007","95,179","126,151,493"
39,Lebanon,"528,457",,"7,345",,"464,660",,"56,452",539,"77,717","1,080","4,011,613","589,962","6,799,781"
40,UAE,"525,567",,"1,596",,"506,020",,"17,951",,"52,608",160,"44,674,361","4,471,812","9,990,214"
41,Morocco,"511,912",,"9,032",,"498,624",,"4,256",176,"13,733",242,"6,282,544","168,541","37,276,012"
42,Saudi Arabia,"420,301",,"6,992",,"403,702",,"9,607","1,359","11,918",198,"17,097,031","484,800","35,266,155"
43,Malaysia,"417,512",,"1,551",,"385,208",,"30,753",352,"12,763",47,"9,540,805","291,658","32,712,280"
44,Bulgaria,"405,825",,"16,548",,"341,168",,"48,109",649,"58,777","2,397","2,535,366","367,206","6,904,488"
45,Ecuador,"388,046",,"18,765",,"329,582",,"39,699",617,"21,719","1,050","1,296,909","72,589","17,866,575"
46,Slovakia,"383,228",,"11,807",,"364,260",,"7,161",321,"70,164","2,162","2,676,393","490,015","5,461,859"
47,Panama,"365,299",,"6,244",,"355,187",,"3,868",105,"83,565","1,428","2,412,680","551,921","4,371,424"
48,Belarus,"361,897",,"2,572",,"352,464",,"6,861",,"38,309",272,"5,895,273","624,055","9,446,716"
49,Greece,"348,568",,"10,587",,"313,186",,"24,795",797,"33,580","1,020","8,189,449","788,941","10,380,300"
50,Nepal,"343,418",,"3,362",,"286,015",,"54,041",,"11,612",114,"2,521,164","85,251","29,573,582"
51,Croatia,"335,522",,"7,218",,"316,926",,"11,378",244,"82,155","1,767","1,827,068","447,372","4,084,000"
52,Kazakhstan,"330,071","2,076","3,762",29,"281,708","1,366","44,601",221,"17,405",198,"10,307,341","543,513","18,964,311"
53,Azerbaijan,"321,798",,"4,580",,"294,784",,"22,434",,"31,501",448,"3,267,835","319,887","10,215,593"
54,Georgia,"313,742",788,"4,183",20,"295,458","1,206","14,101",,"78,775","1,050","4,235,464","1,063,454","3,982,742"
55,Tunisia,"312,747",,"10,915",,"264,730",,"37,102",529,"26,233",916,"1,328,283","111,415","11,921,972"
56,Bolivia,"308,984","1,423","13,035",14,"254,683","1,277","41,266",83,"26,172","1,104","1,195,045","101,224","11,805,944"
57,Palestine,"298,203",,"3,283",,"276,171",,"18,749",133,"57,346",631,"1,754,630","337,425","5,200,054"
58,Paraguay,"284,453",,"6,653",,"235,374",,"42,426",527,"39,476",923,"1,115,054","154,746","7,205,713"
59,Kuwait,"277,832",,"1,590",,"261,369",,"14,873",207,"64,264",368,"2,351,938","544,018","4,323,272"
60,Dominican Republic,"267,681",,"3,499",,"228,460",,"35,722",186,"24,471",320,"1,412,165","129,096","10,938,838"
61,Ethiopia,"258,813",,"3,757",,"201,156",,"53,900",858,"2,206",32,"2,590,091","22,075","117,330,812"
62,Costa Rica,"256,676",,"3,290",,"205,467",,"47,919",403,"50,005",641,"1,004,802","195,753","5,133,012"
63,Denmark,"253,673",,"2,490",,"241,279",,"9,904",42,"43,667",429,"39,128,492","6,735,506","5,809,288"
64,Lithuania,"251,450","1,043","3,976",15,"226,595","1,653","20,879",202,"93,465","1,478","2,859,326","1,062,823","2,690,313"
65,Moldova,"251,378",,"5,850",,"241,216",,"4,312",199,"62,437","1,453","996,005","247,387","4,026,096"
66,Ireland,"250,290",,"4,906",,"232,789",,"12,595",40,"50,220",984,"4,512,912","905,503","4,983,871"
67,Slovenia,"241,883",,"4,269",,"228,110",,"9,504",149,"116,336","2,053","1,181,996","568,492","2,079,178"
68,Egypt,"230,713",,"13,531",,"172,774",,"44,408",90,"2,220",130,"2,715,258","26,123","103,942,535"
69,Guatemala,"228,871",,"7,578",,"206,217",,"15,076",5,"12,581",417,"1,266,989","69,646","18,191,726"
70,Armenia,"217,407",399,"4,165",16,"201,107",635,"12,135",,"73,253","1,403","996,955","335,914","2,967,885"
71,Honduras,"214,475",505,"5,367",33,"79,293",197,"129,815",566,"21,371",535,"634,254","63,198","10,036,002"
72,Qatar,"207,592",,480,,"194,099",,"13,013",310,"73,934",171,"1,918,009","683,099","2,807,805"
73,Uruguay,"204,120",,"2,796",,"176,783",,"24,541",555,"58,591",803,"1,828,957","524,987","3,483,815"
74,Venezuela,"200,931",,"2,189",,"182,757",,"15,985",317,"7,083",77,"3,359,014","118,407","28,368,321"
75,Bosnia and Herzegovina,"198,461",,"8,551",,"159,223",,"30,687",,"60,809","2,620","907,054","277,924","3,263,676"
76,Oman,"196,900",,"2,053",,"178,052",,"16,795",285,"37,760",394,"1,550,000","297,245","5,214,561"
77,Bahrain,"180,462",,657,,"168,865",,"10,940",101,"103,089",375,"4,139,497","2,364,684","1,750,550"
78,Libya,"178,335",,"3,047",,"164,196",,"11,092",,"25,662",438,"964,275","138,759","6,949,294"
79,Nigeria,"165,199",,"2,063",,"155,371",,"7,765",11,785,10,"1,912,628","9,091","210,386,770"
80,Kenya,"160,559",,"2,781",,"109,077",,"48,701",190,"2,932",51,"1,681,420","30,707","54,756,944"
81,North Macedonia,"152,747",,"4,961",,"133,871",,"13,915",124,"73,320","2,381","725,240","348,120","2,083,302"
82,Myanmar,"142,842",,"3,209",,"131,989",,"7,644",,"2,611",59,"2,581,101","47,174","54,715,028"
83,Albania,"131,276",,"2,399",,"111,792",,"17,085",18,"45,659",834,"639,613","222,462","2,875,161"
84,S. Korea,"124,269",541,"1,840",6,"114,128",772,"8,301",162,"2,422",36,"8,957,155","174,582","51,306,175"
85,Estonia,"123,344",401,"1,177",5,"113,396",916,"8,771",53,"92,930",887,"1,303,545","982,115","1,327,283"
86,Algeria,"122,717",,"3,280",,"85,534",,"33,903",28,"2,757",74,"230,861","5,187","44,510,983"
87,Latvia,"119,953",,"2,154",,"109,281",,"8,518",84,"64,192","1,153","2,311,233","1,236,842","1,868,656"
88,Norway,"113,952",,757,,"88,952",,"24,243",35,"20,883",139,"5,212,177","955,188","5,456,701"
89,Sri Lanka,"113,676",,709,,"98,209",,"14,758",,"5,290",33,"2,733,805","127,222","21,488,441"
90,Cuba,"109,625",,675,,"103,256",,"5,694",111,"9,683",60,"3,700,029","326,834","11,320,818"
91,Montenegro,"97,718",,"1,510",,"94,016",,"2,192",64,"155,569","2,404","378,531","602,629","628,133"
92,Kyrgyzstan,"96,561",224,"1,630",8,"90,146",225,"4,785",72,"14,600",246,"1,004,603","151,891","6,613,957"
93,Ghana,"92,683",,779,,"90,324",,"1,580",6,"2,932",25,"1,105,620","34,974","31,612,935"
94,Uzbekistan,"92,320",314,655,2,"88,258",293,"3,407",23,"2,725",19,"1,377,915","40,678","33,874,002"
95,Zambia,"91,722",,"1,253",,"90,130",,339,45,"4,876",67,"1,412,261","75,075","18,811,410"
